id,nom,nbEleves,margeDerreur
34411502-a842-11eb-b5b1-b88d1207ebd4,Allemand,7,0
21e1d536-a842-11eb-b5b1-b88d1207ebd4,SVT,9,0
1b87f12a-a842-11eb-b5b1-b88d1207ebd4,Physique,16,0
29111920-a842-11eb-b5b1-b88d1207ebd4,NSI,12,0
4091720c-a842-11eb-b5b1-b88d1207ebd4,Math Expert,4,0
39e7468e-a842-11eb-b5b1-b88d1207ebd4,Math Comple,7,0
168155c2-a842-11eb-b5b1-b88d1207ebd4,Math,22,0
4e1429e2-a842-11eb-b5b1-b88d1207ebd4,Groupe 2,15,0
483ce9a0-a842-11eb-b5b1-b88d1207ebd4,Groupe 1,15,0
2d6d6654-a842-11eb-b5b1-b88d1207ebd4,Espagnol,23,0
